ID,name,Descrição,description_pt,description_es,description_en,website,city,placesOfOriginNames,incidencyReach,parentHub,technologyType,purpose,incidencyType,themes,secondaryThemes,mecanismos,isOpenLicense,notes,"(sinais) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,Quais?,Quais?,Coletiva (HUB),Conexão e Diálogo ,Sensibilização,Formação,Produção de Conhecimento,Levantamento e Visualização de Informação,Fomento,Fiscalização e Monitoramento,Disseminação,Mobilização e Pressão,Contribuição e Colaboração
12,1ra Hackatón Miraflores,"La Comuna Distrital celebrará el Día Mundial del Internet con la 1ra Hackatón de Miraflores, para dar a conocer los compromisos de su Carta Municipal de Gobierno Abierto, y a la vez promover la participación, colaboración e innovación ciudadana, a través del uso de Datos Abiertos. ","A Comuna Distrital celebrará o Dia Mundial da Internet com a primeira Hackatón de Miraflores, para tornar públicos os compromissos de sua Carta Municipal de Governo Aberto, e para promover a participação, colaboração e inovação dos cidadãos através do uso de Dados Abertos.","La Comuna Distrital celebrará el Día Mundial del Internet con la 1ra Hackatón de Miraflores, para dar a conocer los compromisos de su Carta Municipal de Gobierno Abierto, y a la vez promover la participación, colaboración e innovación ciudadana, a través del uso de Datos Abiertos. ","Comuna Distrital (District Commune) will celebrate World Internet Day with the first Hackathon held in Miraflores, to make public the commitments of its Municipal Letter of an Open Government, and to promote the participation, collaboration and innovation of citizens via the use of Open Data.",http://www.miraflores.gob.pe/_contenTempl1.asp?idpadre=8614,Miraflores,Peru,Local,Prefeitura de Miraflores,Social,Incidência,,Governo 2.0,Transparência e Accountability,", Concurso, Hackaton",TRUE,,,,,,,Hackton,,,,Banco de dados,Concurso,,,,
13,3de3,Iniciativa que busca reconstruir la confianza ciudadana a través del compromiso y transformación de la clase política en nuestro país: funcionarios y políticos que antepongan los intereses de México a los suyos.,Iniciativa que busca reconstruir a confiança dos cidadãos a partir do compromisso e da transformação da classe política em nosso país; funcionários e políticos que coloquem os interesses do México acima dos próprios.,Iniciativa que busca reconstruir la confianza ciudadana a través del compromiso y transformación de la clase política en nuestro país: funcionarios y políticos que antepongan los intereses de México a los suyos.,Initiative which aims to rebuild the confidence of citizens through the commitment and transformation of the political class in our country; employees and politicians who will put Mexico's interests above their own.,http://3de3.mx/#/,México DF,México,Nacional,Mexicano para la Competitividad (IMCO); Transparencia Mexicana,Digital,Incidência,,Transparência e Accountability,Controle Social,", Ativismo digital, Crowdsourcing",false,Fiquei com dúvida no tipo de método que usam,"Hubs, Financiadores",,,,,,,,,"Banco de dados, Georeferenciamento",,Indicadores,,Petição,
14,A Batata precisa de Você,"‘A batata precisa de você’ é uma ocupação regular, semanal no largo da batata na cidade de São Paulo. Toda sexta-feira  promovem atividades culturais aliadas de conversas sobre temas urbanos que impactam a vida na cidade e seus cidadãos. É aberto para qualquer pessoa que queira participar ou promover atividades. O movimentos surgiu da frustração de pessoas com  as audiências públicas da Subprefeitura de Pinheiros em São Paulo. ","‘A batata precisa de você’ é uma ocupação regular, semanal no largo da batata na cidade de São Paulo. Toda sexta-feira  promovem atividades culturais aliadas de conversas sobre temas urbanos que impactam a vida na cidade e seus cidadãos. É aberto para qualquer pessoa que queira participar ou promover atividades. O movimentos surgiu da frustração de pessoas com  as audiências públicas da Subprefeitura de Pinheiros em São Paulo. ","‘A batata precisa de você’ ('La batata te necesita') es una ocupación regular, semanal en el Largo de la Batata en la ciudad de São Paulo. Todos los viernes  promueven actividades culturales aliadas a charlas sobre temas urbanos que impactan la vida en la ciudad y sus ciudadanos. Es abierto a cualquier persona que quiera participar o promover actividades. El movimento surgió de la frustración de personas con las audiencias públicas de la Alcaldía del barrio de Pinheiros en São Paulo.","A batata precisa de você (Batata needs you) is a regular occupation, happening weekly in Batata Square, in the city of São Paulo. Every Friday, the square holds cultural activities and conversations about urban themes which affect life in the city and its citizens. It is open to anyone who wants to participate or promote activities. The movement stemmed from the frustation of people with the public audiences of the Subprefecture of Pinheiros in São Paulo.",http://largodabatata.com.br/,São Paulo,Brasil,Local,A Cidade Precisa de Você,Social,Empoderamento,,Cultura Política,,"Roda de conversa, Ocupação, Atividades culturais, Vivência",,a cidade precisa de vc ja foi mapeado?,,,,,,,Atividades Culturais,,,,,,,Ocupação,
15,A Quiénes Elegimos,Conoce mejor a los Candidatos a Elecciones Municipales,Conheça melhor os candidatos às eleições municipais.,Conoce mejor a los Candidatos a Elecciones Municipales,Get to know your municipal election candidates better. ,http://www.aquieneselegimos.org.py/,,Paraguai,Local,CIRD; reAcción,Digital,Empoderamento,,Transparência e Accountability,,", Pedagogia política, Jogo, Relatório, Repositório, Serviço digital",TRUE,,,,,,,,Conscientização eleitoral,,,Banco de dados,,,,,Rankeamento
16,A Tu Nombre,"Desde DATA y Mirá Mamá trabajamos para construir una herramienta que permita visualizar en un mapa de Montevideo qué calles tienen nombre de mujer y, a su vez, quiénes fueron esas mujeres. El proyecto lo llevamos a cabo junto a un grupo de colaboradores/as que se acercaron a un Café de DATA.","Por meio do DATA e Mira Mamá (Olha Mamãe) trabalhamos para construir uma ferramenta que permita visualizar, num mapa de Montevidéu, quais ruas têm nomes de mulheres e quem foram estas mulheres. O projeto foi realizado por um grupo de colaboradores/as que se juntaram em um café de DATA.","Desde DATA y Mirá Mamá trabajamos para construir una herramienta que permita visualizar en un mapa de Montevideo qué calles tienen nombre de mujer y, a su vez, quiénes fueron esas mujeres. El proyecto lo llevamos a cabo junto a un grupo de colaboradores/as que se acercaron a un Café de DATA.","Via DATA and Mira Mamá (Look, Mom) we work to build a tool that will allow visualization, in a Montevideo map, of which streets are named after women and who were these women. The project was developed by a group of collaborators that got together in a DATA coffee meeting.",http://atunombre.uy/,Montividéu,Uruguai,Local,Datauy; Datos Abiertos,Digital,Empoderamento,Não Específicado,Transparência e Accountability,,", Georrefenciamento, Crowdsourcing",TRUE,,Hubs,,,,,,,,,"Banco de dados, Georeferenciamento, Gráficos",,,,,
17,A Tu Servicio,"A tu servicio es una herramienta que permiten obtener, visualizar y comparar datos de los diferentes prestadores de salud de Uruguay, para promover la toma de decisiones informadas de los/as usuarios/as y la transparencia del sistema. El surgimiento de este proyecto está vinculado a la apertura del período de Movilidad Regulada en el área de la salud (conocido como “corralito”) en febrero de cada año. Esta plataforma fue desarrollada por DATA y el Ministerio de Salud Pública. Fue financiada por el Ministerio de Salud Pública y el programa de pequeños apoyos de la Iniciativa Latinoamericana por los Datos Abiertos (ILDA), financiada por Avina Américas.","A Tu Servicio (A Seu Serviço) é uma ferramenta que permite obter, visualizar e comparar dados de diferentes prestadores de saúde do Uruguai, para promover uma tomada de decisão bem-informada pelos/as usuários/as e a transparência do sistema. O surgimento deste projeto está vinculado à abertura do período de Mobilidade Regulada na área da saúde (conhecido como ""corralito"") em fevereiro de cada ano. Esta plataforma foi desenvolvida pelo DATA e pelo Ministério de Saúde Pública. Foi financiado pelo Ministério de Saúde Pública e pelo programa de pequenos apoios da Iniciativa Latino-americana pelos Dados Abertos (ILDA), financiada pelo Avinas Américas.","A tu servicio es una herramienta que permiten obtener, visualizar y comparar datos de los diferentes prestadores de salud de Uruguay, para promover la toma de decisiones informadas de los/as usuarios/as y la transparencia del sistema. El surgimiento de este proyecto está vinculado a la apertura del período de Movilidad Regulada en el área de la salud (conocido como “corralito”) en febrero de cada año. Esta plataforma fue desarrollada por DATA y el Ministerio de Salud Pública. Fue financiada por el Ministerio de Salud Pública y el programa de pequeños apoyos de la Iniciativa Latinoamericana por los Datos Abiertos (ILDA), financiada por Avina Américas.","A Tu Servicio (At Your Service) is a tool which alllows the user to obtain, visualize and compare data from different health service providers in Uruguay, in order to promote well-informed decision-making by the users as well as system transparency. The beginning of this project is attached to the opening of a period of ""Regulated Mobility"" in the health area (know as ""corralito"") in February of each year. This platform was developed by DATA and by the Public Health Ministry, and by the program of small supports of ILDA (Latin American Initiative for Open Data), financed by Alvinas Américas.  ",http://atuservicio.uy/,Montividéu,Uruguai,Nacional,Datauy; Dirección General del Sistema Nacional Integrado de Salud,Digital,Empoderamento,,Governo 2.0,Transparência e Accountability,", Banco de dados, Infográfico, Monitoramento, Serviço digital",TRUE,,Hubs,,,,,,,,Análise de Dados,"Banco de dados, Gráficos",,Indicadores,,,
18,AbreCultura,"A iniciativa AbreCultura está impulsionando um mapeamento a nível internacional sobre experiências cívicas de incidência em políticas públicas relacionadas a setores de artes e cultura, tanto aquelas entendidas propiamente como políticas culturais quanto aquelas políticas públicas cuja transversalidade impacta nos procesos criativos, simbólicos e o exercício dos direitos culturais na região.","A iniciativa AbreCultura está impulsionando um mapeamento a nível internacional sobre experiências cívicas de incidência em políticas públicas relacionadas a setores de artes e cultura, tanto aquelas entendidas propiamente como políticas culturais quanto aquelas políticas públicas cuja transversalidade impacta nos procesos criativos, simbólicos e o exercício dos direitos culturais na região.","La iniciativa AbreCultura está impulsando un levantamiento a nível internacional sobre experiencias cívicas de incidencia en políticas públicas relacionadas a sectores de artes y cultura, tanto aquellas comprendidas propiamente como políticas culturales como aquellas políticas públicas cuya transversalidad causa impacto en los procesos creativos, simbólicos y el ejercicio de los derechos culturales en la región.","AbreCultura (Open Culture) is putting forward an international mapping of civic experiences that impact public policies relating to the sectors of art and culture, including those which are strictly speaking cultural policies and those whose transversality impacts creative and symbolic processes and the exercise of cultural rights in the region.",http://abrecultura.org/,,América Latina e Caribe,Regional,Aliança Juntxs,Digital,Empoderamento,,Transparência e Accountability,Controle Social,", Banco de dados, Georrefenciamento, Crowdsourcing",TRUE,,Sinais,,,,,,,,,Banco de dados,,Monitoramento,,,
19,ABRELATAM,Una desconferencia que busca impulsar los #DatosAbiertos & #GobiernoAbierto en América Latina,Uma conferência que busca impulsionar os #DadosAbertos e o #GovernoAberto na América Latina.,Una desconferencia que busca impulsar los #DatosAbiertos & #GobiernoAbierto en América Latina,A conference which aims to propel #DadosAbertos (#OpenData) and #GovernoAberto (#OpenGovernment) in Latin America. ,http://2015.abrelatam.org/,,Chile,Regional,Ciudadano Inteligente; Condatos,Social,Empoderamento,,Transparência e Accountability,,", Desconferência",,"Nao foi possivel identificar os métodos (além de Desconferência).Teve oficinas, cocriação etc?",,,,,,Desconferência,,Oficina,Sistematização de conhecimento,,,,,,
20,Acelera Gov,"Parte do Manual de Guerrilha do Servidor Púbico, promove formação acelerada de empreendedimentos públicos e cívicos","Parte do Manual de Guerrilha do Servidor Púbico, promove formação acelerada de empreendedimentos públicos e cívicos","Parte del Manual de Guerrilla del Servidor Púbico, promueve formación acelerada de emprendedimientos públicos y cívicos.","Part of the Public Servant Guerrilla Manual, promoting accelerated formation of public and civic enterprises.",http://guerrilhadoservidor.com.br/portfolio/acelera-gov/,Brasília,Brasil,Nacional,Manual de Guerrilha do Servidor Público,Social,Empoderamento,,Cultura Política,,", curso, aceladora",,,Sinais,,,,,,,,,,Aceleração e Incubação,,,,
21,Adote um Vereador,"O Projeto Adote um Vereador tem por objetivo fazer com que o cidadão acompanhe um vereador em suas atividades parlamentares.Primeiro passo: Escolha um vereador (pode ser um deputado ou senador, também)Segundo passo: Abra um blog onde serão publicadas as informações e seus comentários sobre o escolhido;Terceiro passo: Procure informações sobre o parlamentar nos jornais, rádio, TV, sites e blogs; mande e-mail ou Twitter com perguntas; telefone para o gabinete ou faça visitas na Câmara Municipal (ou na Assembleia e Congresso, se for o caso)","O Projeto Adote um Vereador tem por objetivo fazer com que o cidadão acompanhe um vereador em suas atividades parlamentares.Primeiro passo: Escolha um vereador (pode ser um deputado ou senador, também)Segundo passo: Abra um blog onde serão publicadas as informações e seus comentários sobre o escolhido;Terceiro passo: Procure informações sobre o parlamentar nos jornais, rádio, TV, sites e blogs; mande e-mail ou Twitter com perguntas; telefone para o gabinete ou faça visitas na Câmara Municipal (ou na Assembleia e Congresso, se for o caso)","El Proyecto Adote un Vereador (Adopte un Concejal) tiene como objetivo hacer con que el ciudadano supervise a un concejal en sus actividades parlamentares. Primer paso: Escoja un concejal (puede ser un diputado o senador); Segundo paso: Crea un blog donde serán publicadas las informaciones y sus comentarios sobre el escogido;Tercer paso: Busca informaciones sobre el parlamentar en los periódicos, radio, tele, sítios y blogs; envía e-mail o Twitter con preguntas; llama al gabinete o visita el Ayuntamiento Municipal (o la Asamblea y el Congreso)","Projeto Adote um Vereador (Adopt an Assemblyman Project) has as its goal to make citizens accompany assemblymen in their parlamentary activities. First step: pick an assemblyman (it can also be a member of congress or a senator). Second step: Set up a blog where the information and your comments on your chosen politician will be published. Third step: Look for information on the parliament member in the newspapers, radio, TV, websites and blogs; send email or tweet with questions; call their office or make visits in City Chamber (or the Senate or Congress, if it may be the case).",http://www.adoteumvereadorsp.com.br/,São Paulo,Brasil,Local,,Social,Empoderamento,,Controle Social,Participação Cidadã,", Pedagogia política, Monitoramento",,,,,,,,,,,,Banco de dados,,"Indicadores, Monitoramento Descentralizado",Portal de Notícias/Blog,,
23,Ágora Rio,O Ágora Rio é uma plataforma inovadora criada para a gestão municipal debater políticas públicas de igual para igual com cidadãos e cidadãs cariocas.,O Ágora Rio é uma plataforma inovadora criada para a gestão municipal debater políticas públicas de igual para igual com cidadãos e cidadãs cariocas.,El Ágora Rio es una plataforma innovadora creada para que la gestión municipal debata políticas públicas de igual para igual con los ciudadanos y ciudadanas cariocas.,Ágora Rio (Rio Agora) is an innovative platform created for city management to debate public policies looking eye to eye with the citizens of Rio de Janeiro.,https://desafioagorario.crowdicity.com/,Rio de Janeiro,Brasil,Local,LabRio,Digital,Empoderamento,Executivo,Cultura Política,,"Debate, Mediação / Facilitação, Consulta popular, Mandato interativo",,,,,,,,,,,Pesquisa,,,,,,Co-criação
