ID,name,description - ORIGINAL,description_pt,description_es,description_en,website,city,placesOfOriginIds,placesOfOriginNames,incidencyReach,relatedHubsNames,parentHubNames,nature,,isSponsor,Observações,"(hubs) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,,,,,,,,,,,,,,,,,
160,Fundación RAP,"RAP (Red de Acción Política) es una fundación plural y apartidaria que tiene como misión hacer un aporte hacia la formación y el fortalecimiento de la dirigencia política en Argentina a partir de un auténtico espíritu republicano, una vocación de fortalecer el marco institucional y un conjunto de valores, principios y conductas compartidas.","RAP (Red de Acción Política) (Rede de Ação Política) é uma fundação plural e não partidária, cuja missão é contribuir para a formação e fortalecimento da liderança política na Argentina a partir de um verdadeiro espírito republicano, uma vocação para fortalecer o marco institucional e um conjunto de valores, princípios e comportamentos compartilhados.","RAP (Red de Acción Política) es una fundación plural y apartidaria que tiene como misión hacer un aporte hacia la formación y el fortalecimiento de la dirigencia política en Argentina a partir de un auténtico espíritu republicano, una vocación de fortalecer el marco institucional y un conjunto de valores, principios y conductas compartidas.","Red de Acción Política (Political Action Network) (RAP) is a plural nonpartisan foundation, with the mission of contributing to the formation and strengthening of political leadership in Argentina taking off from a true republican spirit, a vocation to establish our institutional framework and a shared set of values, principles and attitudes.",http://fundacionrap.org,Buenos Aires,AR,Argentina,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
161,Fundación Vía Libre,"Fundación Vía Libre es una organización sin fines de lucro radicada en Córdoba, Argentina. Desde el año 2000 trabaja en difusión del conocimiento y desarrollo sustentable, partiendo de los postulados del movimiento global de Software Libre. Vía Libre trabaja en defensa de la libertad y los derechos ciudadanos en el marco de la inclusión de nuevas tecnologías de información y comunicación en nuestra vidacotidiana.","Fundação Vía Libre (Fundação Via Livre) é uma organização sem fins lucrativos com sede em Córdoba, Argentina. Desde 2000 funciona na disseminação do conhecimento e do desenvolvimento sustentável, com base nos princípios do movimento Software Livre global. Via Libre trabalha em defesa da liberdade e dos direitos civis no contexto da inclusão de novas tecnologias de informação e comunicação em nosso vida cotidiana.","Fundación Vía Libre es una organización sin fines de lucro radicada en Córdoba, Argentina. Desde el año 2000 trabaja en difusión del conocimiento y desarrollo sustentable, partiendo de los postulados del movimiento global de Software Libre. Vía Libre trabaja en defensa de la libertad y los derechos ciudadanos en el marco de la inclusión de nuevas tecnologías de información y comunicación en nuestra vidacotidiana.","Fundación Via Libre (Free Way Foundation) is a non-profit organization based in Córdoba, Argentina. Since 2000 it works in knowledge and sustainable development dissemination, based on the principles of the global movement Free Software. Via Libre works in defense of freedom and civil rights in the context of including new information and communication technologies in our daily life.",http://www.vialibre.org.ar/,,AR,Argentina,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
195,Incide Social,"Iniciativa Ciudadana y Desarrollo Social, INCIDE Social, A. C., es una asociación civil sin fines de lucro, constituida por personas con experiencia en el ámbito académico, la investigación y el activismo civil, que decidieron organizarse para promover una serie de valores y principios que compartían respecto de la democracia, la justicia, la responsabilidad social del Estado y la participación ciudadana. La organización realiza trabajos de investigación, capacitación y articulación y participa en promociones de incidencia en política pública y visibilización de agendas de la sociedad civil.","INCIDE Social AC (Iniciativa Cidadã e Desenvolvimento Social Associação Civil) é uma organização privada sem fins lucrativos, composta por pessoas com experiência na academia, pesquisa e ativismo civil, que decidiram se organizar para promover um conjunto de valores e princípios que compartilhavam acerca de democracia, justiça, responsabilidade social do Estado e participação do cidadão. A organização realiza pesquisas, capacitação e articulações e participa em ações que incidem sobre a vida pública e na visibilidade da agenda da sociedade civil.","Iniciativa Ciudadana y Desarrollo Social, INCIDE Social, A. C., es una asociación civil sin fines de lucro, constituida por personas con experiencia en el ámbito académico, la investigación y el activismo civil, que decidieron organizarse para promover una serie de valores y principios que compartían respecto de la democracia, la justicia, la responsabilidad social del Estado y la participación ciudadana. La organización realiza trabajos de investigación, capacitación y articulación y participa en promociones de incidencia en política pública y visibilización de agendas de la sociedad civil.","INCIDE Social (Citizen Initiative and Social Development) is a nonprofit private organization, made by people with experience in academia, research and civil activism, who decided to get organized to promote a set of values and principles they shared in the fields of democracy, justice, State's social responsability and citizen participation. It realizes researches, capacitation and articulation and participates in actions that incide on public life and in visibility for civil society agenda.",http://www.incidesocial.org/,Distrito Federal do México,MX,México,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
198,InfoAmazonia,"InfoAmazonia agrega dados e notícias sobre a Amazônia, a maior floresta tropical contínua do planeta. O projeto é sustentado por uma rede de organizações e jornalistas que oferecem atualizações constantes dos nove países da região. As bases de dados compartilhadas por InfoAmazonia estarão sempre disponíveis para download e também serão renovadas com frequência. O cruzamento das notícias com os dados pretende melhorar a percepção sobre os desafios para a conservação da floresta.","InfoAmazonia agrega dados e notícias sobre a Amazônia, a maior floresta tropical contínua do planeta. O projeto é sustentado por uma rede de organizações e jornalistas que oferecem atualizações constantes dos nove países da região. As bases de dados compartilhadas por InfoAmazonia estarão sempre disponíveis para download e também serão renovadas com frequência. O cruzamento das notícias com os dados pretende melhorar a percepção sobre os desafios para a conservação da floresta.","InfoAmazonia añade datos y noticias sobre la Amazonia, la selva tropical de área continua más grande del planeta. El proyecto es mantenido por una red de organizaciones y periodistas que ofrecen actualizaciones constantes de los nueve países de la región. Las bases de datos compartidas por InfoAmazonia siempre estarán disponibles para descarga y también serán renovadas con frecuencia. El cruce de las noticias con los datos pretende mejorar la percepción sobre los desafíos para la conservación de la selva.","InfoAmazonia unites data and news about Amazon, the largest continuous forest in the planet. The project is maintained by a network of organizations and journalists who offer constant updates about all nine countries in the region. The data bases shared by InfoAmazonia will be always available for download and will also be renewed frequently. The crossing of news and data intends to improve perception about the challenges faced to preserve the forest.",http://infoamazonia.org/,,BR,Brasil,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
203,Instituto de Acesso a la Informacion Publica,"Velar por la correcta interpretación y aplicación de la Ley de Acceso a la Información Pública, para fomentar la cultura de transparencia en la sociedad","Assegurar a correta interpretação e aplicação da Lei de Acesso à Informação Pública, para promover a cultura de transparência na sociedade.","Velar por la correcta interpretación y aplicación de la Ley de Acceso a la Información Pública, para fomentar la cultura de transparencia en la sociedad","To ensure correct interpretation and application of the Public Information Access Law, to promote transparency culture in the society.",http://www.iaip.gob.sv/,,SV,El Salvador,National,,,Government,,,,,,,,,,,,,,,,,,,,,,
205,Instituto Nossa Ilheus,"O Instituto Nossa Ilhéus é uma iniciativa da sociedade civil organizada que tem por objetivo fortalecer a cidadania, a democracia participativa e o empreendedorismo, tendo por base a sustentabilidade e o monitoramento social. ","O Instituto Nossa Ilhéus é uma iniciativa da sociedade civil organizada que tem por objetivo fortalecer a cidadania, a democracia participativa e o empreendedorismo, tendo por base a sustentabilidade e o monitoramento social. ","El Instituto Nossa Ilhéus (Instituto Nuestra Ilhéus) es una iniciativa de la sociedad civil organizada que tiene por objetivo fortalecer la ciudadanía, la democracia participativa y el emprendedorismo, teniendo por base la sostenibilidad y el monitoreo social.","Institute Nossa Ilhéus (Our Ilhéus City Institute) is an organized civil society initiative that aims to strengthen citizenship, participative democracy and entrepreneurship, based on sustainability and social monitoring.",http://nossailheus.org.br,Ilheus,BR,Brasil,Local,,,NGO,,,,,,,,,,,,,,,,,,,,,,
208,Joinville Nossa Cidade,"Por meio do compartilhamento de informações sobre a cidade e sobre os direitos do cidadão, o Movimento incentiva a participação dos cidadãos nas decisões que envolvem o planejamento democrático da cidade, com o objetivo de contribuir para tornar Joinville uma cidade mais justa, democrática e sustentável.","Por meio do compartilhamento de informações sobre a cidade e sobre os direitos do cidadão, o Movimento incentiva a participação dos cidadãos nas decisões que envolvem o planejamento democrático da cidade, com o objetivo de contribuir para tornar Joinville uma cidade mais justa, democrática e sustentável.","Por medio del intercambio de informaciones sobre la ciudad y sobre los derechos de los ciudadanos, el Movimiento incentiva la participación de los ciudadanos en las decisiones que envuelven la planificación democrática de la ciudad, con el objetivo de contribuir para tornar Joinville una ciudad más justa, democrática y sostenible.","Through information sharing about the city and citizen rights, the Movement encourages citizen participation in decisions that involve democratic planning of the city, with the objective of contributing to make Joinville city more sustainable, democratic and fair.",http://www.joinvillenossacidade.org/,Joinville,BR,Brasil,Local,,,NGO,,,,,,,,,,,,,,,,,,,,,,
216,La Silla Vacía,La Silla Vacía es un medio informativo e interactivo para las personas interesadas en la actualidad política colombiana.,La Silla Vacía (A cadeira Vazia) é um meio informativo e interativo para pessoas interessadas na política colombiana atual.,La Silla Vacía es un medio informativo e interactivo para las personas interesadas en la actualidad política colombiana.,La Silla Vacía (The Empty Chair) is an informative and interactive medium for people interested in current Colombian politics.,http://lasillavacia.com/,,CO,Colômbia,National,,,NGO,,,,,,,,,,,,,,,,,,,,,,
258,Movimento Nossa Ilha Mais Bela,O Movimento Nossa Ilha Mais Bela nasceu pela constatação de que é necessário haver maior participação cidadã lutando ao lado de todos os setores da Sociedade na construção da Ilhabela dos sonhos de todos nós.,O Movimento Nossa Ilha Mais Bela nasceu pela constatação de que é necessário haver maior participação cidadã lutando ao lado de todos os setores da Sociedade na construção da Ilhabela dos sonhos de todos nós.,El Movimento Nossa Ilha Mais Bela (Movimiento Nuestra Isla Más Bella) surgió tras la constatación de que es necesario que haya una mayor participación ciudadana luchando junto a todos los sectores de la Sociedad para que se construya una Ilhabela de los sueños de todos nosotros.,Movimento Nossa Ilha Mais Bela (Our Island More Beautiful Movement) was created after the verification that it is necessary to have more citizen participation along all society sectors to make Ilha Bela city the dreamy place we all want it to be.,http://nossailhamaisbela.org.br/,Ilha Bela,BR,Brasil,Local,,,NGO,,,,,,,,,,,,,,,,,,,,,,
356,Rede Brasileira de Monitoramento e Avaliação,"As práticas de monitoramento e avaliação de resultados vêem ganhando cada vez mais espaço no Brasil e no mundo como um conjunto de ferramentas de gestão imprescindíveis para o desenho, implementação e controle de políticas públicas de qualidade. Não obstante, os espaços para troca e aprendizado neste campo ainda são incipientes. Este é o desafio que a Rede Brasileira de Monitoramento e Avaliação busca enfrentar.","As práticas de monitoramento e avaliação de resultados vêem ganhando cada vez mais espaço no Brasil e no mundo como um conjunto de ferramentas de gestão imprescindíveis para o desenho, implementação e controle de políticas públicas de qualidade. Não obstante, os espaços para troca e aprendizado neste campo ainda são incipientes. Este é o desafio que a Rede Brasileira de Monitoramento e Avaliação busca enfrentar.","Las prácticas de monitoreo y evaluación de resultados vienen ganando cada vez más espacio en Brasil y en el mundo como un conjunto de herramientas de gestión imprescindibles para el diseño, implementación y control de políticas públicas de calidad. No obstante, los espacios para intercambio y aprendizaje en este campo aún son incipientes. Este es el desafío que la Rede Brasileira de Monitoramento e Avaliação (Red Brasileña de Monitoreo y Evaluación) busca enfrentar.","Result monitoring and evaluation practices are gaining more space in Brazil and in the world as a group of management tools essential to design, implement and control high quality public policies. Despite this fact, spaces to share and learn in this field are incipient. This is the challenge faced by Rede Brasileira de Monitoramento e Avaliação (Monitoring and Evaluation Brazilian Network).",http://redebrasileirademea.ning.com,,BR,Brasil,National,,,Constellations,,,,,,,,,,,,,error,error,error,error,error,error,error,error,error,error
357,Rede Latino Americana e do Caribe de Monitoramento e Avaliação,Mejorando el diseño y implementación de politicas y programas públicos,Melhorar a concepção e implementação de políticas e programas públicos.,Mejorando el diseño y implementación de politicas y programas públicos,To improve conception and implementation of public policies and programs.,http://redlacme.org/,,419,América Latina e Caribe,Regional,,,Constellations,,,,,,,,,,,,,error,error,error,error,error,error,error,error,error,error
361,Reflexion Democratica,"Reflexión Democrática es una asociación civil sin fines de lucro que tiene como objetivo contribuir desde la sociedad civil al fortalecimiento de la institucionalidad democrática. Producimos información técnica y desarrollamos análisis que son presentados en forma sencilla y esquemática, escritos en un lenguaje claro y directo, dirigidos a quienes toman decisiones políticas y a la ciudadanía.","Reflexión Democrática (Reflexão Democrática) é uma associação civil sem fins lucrativos que tem o objetivo de contribuir, a partir da sociedade civil, ao fortalecimento das instituições democráticas. Produzimos informações técnicas e desenvolvemos análises que são apresentadas de uma forma simples e sistematizada, escritas em linguagem clara e direta, destinadas àqueles que tomam decisões políticas e aos cidadãos.","Reflexión Democrática es una asociación civil sin fines de lucro que tiene como objetivo contribuir desde la sociedad civil al fortalecimiento de la institucionalidad democrática. Producimos información técnica y desarrollamos análisis que son presentados en forma sencilla y esquemática, escritos en un lenguaje claro y directo, dirigidos a quienes toman decisiones políticas y a la ciudadanía.","Reflexión Democrática (Democratic Reflection) is a non-profit civil society organization that has the objective of contributing, from civil society, to strengthen democratic institutions. We produce technical information and develop analysis that are presented in simple and systematic way, written in clear and direct language, destined to those who make political decisions and to citizens.",http://www.reflexiondemocratica.org.pe/,Lima,PE,Peru,National,,,NGO,,,,,,,,,,,,,,,,Análise de Dados,,,,,Advocacy,
398,Think Olga,Olga é um think tank dedicado a elevar o nível da discussão sobre feminilidade nos dias de hoje,Olga é um think tank dedicado a elevar o nível da discussão sobre feminilidade nos dias de hoje,Olga es un think tank dedicado a elevar el nivel de la discusión sobre feminilidad en los días de hoy.,Olga is a think tank dedicated to raise the current level of discussion femininity.,http://thinkolga.com/,,BR,Brasil,National,,,NGO,,,,,,,,,,,,,,Campanha de Sensibilização,,,,,,,,
437,#EuvotoDistrital,"O #EuVotoDistrital é um movimento apartidário e horizontal que busca a reforma do sistema eleitoral do poder legislativo brasieliro, de proporcional para majoritário (distrital). O movimento mobiliza a sociedade para pressionar os parlamentares para a mudança na constituição. ","O #EuVotoDistrital é um movimento apartidário e horizontal que busca a reforma do sistema eleitoral do poder legislativo brasieliro, de proporcional para majoritário (distrital). O movimento mobiliza a sociedade para pressionar os parlamentares para a mudança na constituição. ","El #EuVotoDistrital (#YoVotoDistrital) es un movimiento apartidarista y horizontal que intenta lograr la reforma del sistema electoral del poder legislativo brasileño, de proporcional a mayoritario (distrital). El movimiento llama a la sociedad para presionar los parlamentares a ese cambio en la constitución.","#EuVotoDistrital (#IVoteDistrict) is a nonpartisan and horizontal movement seeking to reform the electoral system for Brazilian legislative power, from proportional to majoritarian (district). The movement mobilizes society to pressure members of parliament into changing the constitution.",http://www.euvotodistrital.org.br/,São Paulo,BR,Brasil,National,,,NGO,,,A campanha do Vot Distrital em si,Sinais,,,,,,,,,,,,,,,,,,
438,A Bela Rua,"Transformar cada espaço público em um lugar mais bonito, divertido e seguro. Foi com esse objetivo que nasceu o Bela Rua, uma associação sem fins lucrativos que realiza projetos urbanos e intervenções urbanas participativas e divertidas para incentivar as pessoas a transformar a cidade.","Transformar cada espaço público em um lugar mais bonito, divertido e seguro. Foi com esse objetivo que nasceu o Bela Rua, uma associação sem fins lucrativos que realiza projetos urbanos e intervenções urbanas participativas e divertidas para incentivar as pessoas a transformar a cidade.","Convertir cada espacio público en un lugar más bonito, divertido y seguro. Fue con ese objetivo que nació el Bela Rua(Bella Calle), una asociación sin fines de lucro que realiza proyectos urbanos y intervenciones urbanas activas y divertidas para estimular las personas a transformar la ciudad.","Transforming each public space into a more beautiful, fun and secure place. This was the goal behind the creation Bela Rua (Beautiful Street), a non-profit organization which carries out urban projects as well as fun and participative urban interventions in order to incentive people to transform the city.",http://www.belarua.com.br/,São Paulo,BR,Brasil,Local,,,Company,,,,,,,,,,,,,,,,,,,,,,
